Country,Metric,Mean,Median,Std Dev,Min,Max,Count
Benin,GHI,237.48457119567627,0.6,327.16811096307237,0.0,1232.0,517707
Benin,DNI,167.14409134896766,0.0,261.94036078324814,0.0,950.3,517707
Benin,DHI,113.16675976952213,0.4,151.66023975422206,0.0,589.3,517707
Sierra Leone,GHI,187.21475150917476,0.0,277.01641381771367,0.0,1094.0,509053
Sierra Leone,DNI,104.21023252981519,0.0,200.82479943313785,0.0,772.2,509053
Sierra Leone,DHI,110.50360119673199,0.0,151.44458591884816,0.0,587.3,509053
Togo,GHI,225.02873090174558,0.5,316.4492126778276,0.0,1196.0,516343
Togo,DNI,147.96893634657584,0.0,247.67653509031211,0.0,904.1,516343
Togo,DHI,112.7772192128101,1.5,151.56791939610702,0.0,586.0,516343
